DATE,PROJECT,FIELD_OF_WORK,SECTION,DAILY_ACTIVITY,MAN_HOURS,PROGRESS,COMMENTS
12/14/2022,2490HD (06) ,HR L&D (11),PNEUMATICS / STEAM (10),SUPPLIER ENQUIRY (07),2,0% - 25%,qwert
12/14/2022,2490HD (06) ,HR L&D (11),TESTING / VALIDATION (15),PROBLEM STUDY/TROUBLE SHOOTING/ANALYSIS (10),3,25% - 50%,asdfgh
12/15/2022,ROCK SPLITTER (11) ,PROCUREMENT ISSUES (06),GENERAL/COMMON/MISCELLANEOUS (09),AGGREGATE/COMPONENT SELECTION (08),2,0% - 25%,"good

"
12/15/2022,ELEVATED CABIN (12),ASSEMBLY ISSUES (05) ,FASTENERS (12),PLM CHECK IN/OUT (13),2,25% - 50%,"good

"
12/15/2022,ATTACHMENTS - OTHER M/C (10) ,QC ISSUES (07),HOMOLOGATION (16),AGGREGATE/COMPONENT SELECTION (08),2,25% - 50%,excellent!!
12/21/2022,315R (05),REPEAT ORDER MODIFICATIONS (08),SHEET METAL (07),PROBLEM STUDY/TROUBLE SHOOTING/ANALYSIS (10),3,25% - 50%,yyyy
12/21/2022,1190 (03),PROCUREMENT ISSUES (06),ELECTRICALS (04),SUPPLIER ENQUIRY (07),2,0% - 25%,going on...
12/22/2022,315R (05),IT-PLM (15),PNEUMATICS / STEAM (10),PRO-E 2D DRAFTING (12),3,0% - 25%,qwertyui
12/22/2022,ELEVATED CABIN (12),HR L&D (11),HYDRAULICS (03),COMPARATIVE STUDY (02),4.5,0% - 25%,qweertyu
12/22/2022,315R (05),HR IC LEVEL INITIATIVES (14),OTHER OE ITEMS (13),WRENCH CUSTOMIZATION (14),0.5,0% - 25%,qwerty
12/22/2022, HTCP (14),"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",FASTENERS (12),FINITE ELEMENT ANALYSIS (15),1,0% - 25%,asdghj
12/21/2022,990HFi (02),HR TALENT ACQUISITION & RETENTION (10),CONSUMBALES (11),PRO-E 2D DRAFTING (12),2,Yet to Start,asdfghj
12/23/2022,2490HD (06) ,"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",STRUCTURE (02),CONCEPT DESIGN (04),1.25,Yet to Start,asdfghjk
12/27/2022,2490HD (06) ,"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",HYDRAULICS (03),COMPARATIVE STUDY (02),2,0% - 25%,sdfghjkl
12/27/2022,2490HD (06) ,"NEW FEATURE, SUBSYSTEM, CUST/MKTG REQ. (02)",HYDRAULICS (03),COMPARATIVE STUDY (02),2,0% - 25%,sdfghjkl
